// Initial random seed:
1683965715577

// RunInitializeCallbacks():
initializeMutationRate(1e-07);
initializeMutationType(0, 0.5, "f", 0);
initializeMutationType(1, 0.5, "f", -0.02);
initializeMutationType(2, -0.5, "f", -0.05);
initializeGenomicElementType(1, c(m0, m1), c(1, 0));
initializeGenomicElement(g1, 0, 499999);
initializeRecombinationRate(1e-06, 499999);

// Starting run at generation <start>:
1 

generation NN NI II
4332 515 405 80
4333 521 393 86
4334 524 413 63
4335 558 387 55
4336 535 391 74
4337 544 374 82
4338 524 408 68
4339 530 387 83
4340 534 385 81
4341 522 415 63
4342 548 371 81
4343 534 407 59
4344 546 390 64
4345 554 374 72
4346 542 390 68
4347 550 395 55
4348 581 359 60
4349 586 348 66
4350 550 401 49
4351 516 414 70
4352 520 407 73
4353 518 408 74
4354 512 411 77
4355 486 412 102
4356 473 433 94
4357 494 423 83
4358 469 444 87
4359 483 425 92
4360 497 414 89
4361 504 405 91
4362 508 417 75
4363 514 403 83
4364 499 405 96
4365 495 400 105
4366 501 414 85
4367 516 403 81
4368 521 389 90
4369 500 419 81
4370 540 385 75
4371 519 391 90
4372 510 410 80
4373 515 406 79
4374 552 387 61
4375 555 378 67
4376 570 354 76
4377 584 364 52
4378 590 358 52
4379 562 387 51
4380 577 363 60
4381 587 363 50
4382 583 371 46
4383 591 370 39
4384 581 372 47
4385 597 356 47
4386 609 347 44
4387 621 321 58
4388 611 343 46
4389 600 338 62
4390 570 372 58
4391 586 353 61
4392 593 354 53
4393 601 352 47
4394 622 336 42
4395 655 305 40
4396 669 304 27
4397 677 292 31
4398 687 276 37
4399 679 292 29
4400 665 311 24
4401 675 299 26
4402 693 280 27
4403 701 272 27
4404 696 282 22
4405 685 289 26
4406 697 276 27
4407 711 264 25
4408 712 265 23
4409 704 276 20
4410 707 266 27
4411 711 261 28
4412 730 249 21
4413 730 256 14
4414 732 250 18
4415 736 240 24
4416 718 265 17
4417 723 249 28
4418 722 260 18
4419 736 246 18
4420 752 226 22
4421 721 251 28
4422 719 251 30
4423 706 274 20
4424 746 229 25
4425 745 233 22
4426 737 241 22
4427 708 270 22
4428 688 285 27
4429 685 285 30
4430 683 288 29
4431 686 283 31
4432 695 281 24
4433 688 283 29
4434 702 269 29
4435 705 264 31
4436 700 267 33
4437 713 263 24
4438 726 249 25
4439 725 251 24
4440 705 263 32
4441 716 261 23
4442 704 279 17
4443 706 264 30
4444 688 279 33
4445 699 271 30
4446 710 263 27
4447 731 242 27
4448 735 243 22
4449 750 233 17
4450 735 245 20
4451 723 260 17
4452 726 245 29
4453 715 262 23
4454 701 269 30
4455 701 277 22
4456 697 285 18
4457 743 239 18
4458 728 247 25
4459 729 252 19
4460 741 242 17
4461 722 260 18
4462 732 245 23
4463 732 246 22
4464 730 246 24
4465 723 259 18
4466 733 248 19
4467 740 239 21
4468 716 264 20
4469 732 238 30
4470 711 261 28
4471 704 265 31
4472 723 254 23
4473 712 273 15
4474 739 238 23
4475 744 232 24
4476 733 244 23
4477 727 256 17
4478 713 262 25
4479 724 258 18
4480 703 270 27
4481 706 270 24
4482 700 268 32
4483 704 270 26
4484 707 276 17
4485 698 273 29
4486 683 291 26
4487 691 277 32
4488 677 295 28
4489 659 307 34
4490 649 317 34
4491 651 304 45
4492 639 325 36
4493 640 330 30
4494 700 262 38
4495 680 293 27
4496 690 273 37
4497 668 295 37
4498 679 286 35
4499 680 288 32
4500 686 281 33
4501 673 300 27
4502 676 285 39
4503 690 270 40
4504 682 276 42
4505 707 269 24
4506 714 264 22
4507 696 279 25
4508 694 280 26
4509 686 284 30
4510 682 290 28
4511 678 292 30
4512 658 312 30
4513 677 287 36
4514 672 298 30
4515 652 313 35
4516 660 312 28
4517 672 291 37
4518 680 295 25
4519 667 295 38
4520 665 308 27
4521 668 306 26
4522 684 290 26
4523 675 295 30
4524 700 278 22
4525 690 281 29
4526 708 265 27
4527 714 255 31
4528 720 253 27
4529 724 253 23
4530 703 277 20
4531 691 280 29
4532 680 296 24
4533 681 299 20
4534 656 306 38
4535 655 323 22
4536 690 272 38
4537 671 303 26
4538 703 272 25
4539 673 301 26
4540 684 282 34
4541 693 278 29
4542 689 278 33
4543 685 287 28
4544 676 299 25
4545 668 304 28
4546 672 298 30
4547 669 300 31
4548 683 291 26
4549 661 310 29
4550 670 295 35
4551 682 289 29
4552 711 251 38
4553 691 286 23
4554 674 299 27
4555 647 318 35
4556 628 333 39
4557 604 352 44
4558 621 333 46
4559 612 342 46
4560 598 351 51
4561 566 360 74
4562 530 409 61
4563 532 401 67
4564 548 373 79
4565 544 389 67
4566 531 390 79
4567 544 371 85
4568 539 392 69
4569 536 389 75
4570 543 397 60
4571 567 360 73
4572 560 371 69
4573 571 366 63
4574 547 383 70
4575 522 398 80
4576 520 395 85
4577 528 389 83
4578 527 401 72
4579 540 399 61
4580 545 384 71
4581 548 377 75
4582 530 392 78
4583 492 443 65
4584 525 393 82
4585 519 413 68
4586 519 393 88
4587 508 406 86
4588 514 412 74
4589 513 402 85
4590 514 401 85
4591 514 396 90
4592 519 392 89
4593 512 410 78
4594 526 391 83
4595 530 388 82
4596 541 360 99
4597 505 422 73
4598 495 435 70
4599 506 423 71
4600 533 377 90
4601 542 385 73
4602 546 375 79
4603 550 378 72
4604 532 402 66
4605 554 380 66
4606 537 394 69
4607 554 368 78
4608 554 369 77
4609 552 384 64
4610 568 362 70
4611 555 379 66
4612 578 350 72
4613 563 373 64
4614 556 376 68
4615 537 396 67
4616 562 383 55
4617 574 358 68
4618 547 387 66
4619 532 392 76
4620 544 383 73
4621 545 389 66
4622 555 380 65
4623 551 391 58
4624 552 379 69
4625 525 413 62
4626 540 391 69
4627 539 405 56
4628 557 375 68
4629 563 353 84
4630 530 392 78
4631 512 424 64
4632 527 387 86
4633 535 385 80
4634 536 388 76
4635 522 404 74
4636 525 408 67
4637 556 370 74
4638 548 388 64
4639 551 377 72
4640 579 370 51
4641 570 350 80
4642 574 367 59
4643 595 345 60
4644 582 364 54
4645 585 372 43
4646 578 362 60
4647 581 368 51
4648 569 356 75
4649 587 354 59
4650 593 351 56
4651 591 366 43
4652 592 360 48
4653 632 330 38
4654 650 305 45
4655 645 320 35
4656 644 323 33
4657 643 320 37
4658 650 311 39
4659 641 318 41
4660 642 323 35
4661 674 285 41
4662 683 282 35
4663 682 282 36
4664 673 298 29
4665 657 291 52
4666 654 306 40
4667 638 320 42
4668 636 320 44
4669 617 343 40
4670 606 347 47
4671 604 345 51
4672 580 368 52
4673 566 372 62
4674 555 387 58
4675 532 401 67
4676 538 386 76
4677 535 386 79
4678 542 386 72
4679 528 405 67
4680 543 393 64
4681 524 399 77
4682 532 392 76
4683 539 387 74
4684 534 405 61
4685 541 392 67
4686 539 390 71
4687 545 381 74
4688 541 379 80
4689 527 392 81
4690 508 407 85
4691 514 391 95
4692 532 381 87
4693 533 392 75
4694 518 403 79
4695 524 401 75
4696 535 397 68
4697 540 386 74
4698 560 376 64
4699 558 387 55
4700 559 384 57
4701 567 357 76
4702 540 395 65
4703 528 405 67
4704 511 412 77
4705 529 393 78
4706 526 397 77
4707 522 405 73
4708 525 402 73
4709 533 401 66
4710 558 363 79
4711 552 378 70
4712 524 422 54
4713 503 429 68
4714 505 405 90
4715 512 414 74
4716 525 396 79
4717 511 394 95
4718 519 405 76
4719 520 410 70
4720 515 412 73
4721 505 426 69
4722 530 400 70
4723 482 433 85
4724 489 429 82
