// Initial random seed:
1683965715577

// RunInitializeCallbacks():
initializeMutationRate(1e-07);
initializeMutationType(0, 0.5, "f", 0);
initializeMutationType(1, 0.5, "f", -0.02);
initializeMutationType(2, -0.5, "f", -0.05);
initializeGenomicElementType(1, c(m0, m1), c(1, 0));
initializeGenomicElement(g1, 0, 499999);
initializeRecombinationRate(1e-06, 499999);

// Starting run at generation <start>:
1 

generation NN NI II
5419 479 432 89
5420 484 415 101
5421 492 400 108
5422 477 432 91
5423 459 439 102
5424 463 422 115
5425 471 428 101
5426 456 432 112
5427 437 455 108
5428 427 463 110
5429 404 477 119
5430 432 446 122
5431 430 467 103
5432 408 478 114
5433 428 449 123
5434 407 469 124
5435 435 460 105
5436 477 418 105
5437 473 431 96
5438 489 425 86
5439 499 420 81
5440 494 421 85
5441 460 435 105
5442 484 420 96
5443 461 455 84
5444 486 409 105
5445 456 447 97
5446 454 439 107
5447 460 451 89
5448 449 447 104
5449 493 414 93
5450 490 417 93
5451 480 420 100
5452 498 396 106
5453 492 411 97
5454 480 443 77
5455 518 402 80
5456 487 434 79
5457 493 418 89
5458 477 431 92
5459 452 443 105
5460 463 429 108
5461 449 453 98
5462 462 442 96
5463 495 433 72
5464 530 387 83
5465 541 396 63
5466 561 369 70
5467 569 366 65
5468 577 358 65
5469 577 363 60
5470 580 367 53
5471 570 376 54
5472 567 366 67
5473 556 390 54
5474 569 372 59
5475 540 392 68
5476 566 374 60
5477 586 347 67
5478 602 352 46
5479 622 322 56
5480 618 350 32
5481 625 332 43
5482 639 318 43
5483 617 335 48
5484 602 339 59
5485 585 360 55
5486 576 370 54
5487 590 341 69
5488 580 371 49
5489 583 360 57
5490 577 379 44
5491 595 350 55
5492 612 333 55
5493 599 356 45
5494 600 362 38
5495 611 342 47
5496 627 335 38
5497 644 317 39
5498 663 296 41
5499 669 300 31
5500 656 317 27
5501 661 292 47
5502 645 316 39
5503 655 302 43
5504 645 320 35
5505 664 298 38
5506 667 298 35
5507 663 309 28
5508 658 313 29
5509 681 292 27
5510 689 274 37
5511 686 278 36
5512 698 276 26
5513 727 252 21
5514 725 255 20
5515 718 248 34
5516 744 232 24
5517 744 236 20
5518 748 244 8
5519 739 247 14
5520 724 254 22
5521 715 260 25
5522 689 284 27
5523 717 252 31
5524 732 245 23
5525 726 257 17
5526 727 257 16
5527 732 253 15
5528 745 235 20
5529 744 237 19
5530 761 227 12
5531 767 224 9
5532 806 183 11
5533 818 170 12
5534 811 178 11
5535 824 169 7
5536 834 158 8
5537 826 167 7
5538 828 160 12
5539 827 158 15
5540 802 194 4
5541 809 179 12
5542 793 189 18
5543 798 194 8
5544 777 206 17
5545 775 216 9
5546 777 212 11
5547 792 199 9
5548 781 207 12
5549 759 228 13
5550 779 209 12
5551 754 233 13
5552 759 227 14
5553 759 223 18
5554 760 222 18
5555 764 219 17
5556 758 224 18
5557 761 230 9
5558 757 221 22
5559 752 225 23
5560 739 247 14
5561 748 228 24
5562 748 232 20
5563 730 250 20
5564 726 252 22
5565 706 264 30
5566 702 274 24
5567 693 282 25
5568 659 310 31
5569 669 295 36
5570 652 307 41
5571 660 299 41
5572 663 300 37
5573 631 321 48
5574 625 324 51
5575 624 327 49
5576 601 347 52
5577 630 321 49
5578 610 344 46
5579 610 333 57
5580 607 340 53
5581 592 366 42
5582 607 342 51
5583 584 356 60
5584 585 362 53
5585 578 369 53
5586 583 366 51
5587 577 373 50
5588 580 361 59
5589 599 339 62
5590 641 317 42
5591 632 325 43
5592 623 336 41
5593 644 313 43
5594 629 340 31
5595 625 331 44
5596 641 317 42
5597 664 295 41
5598 658 307 35
5599 639 326 35
5600 659 319 22
5601 673 298 29
5602 667 301 32
5603 657 313 30
5604 654 312 34
5605 659 305 36
5606 650 312 38
5607 630 318 52
5608 628 318 54
5609 625 334 41
5610 611 353 36
5611 624 325 51
5612 621 349 30
5613 658 302 40
5614 631 332 37
5615 645 319 36
5616 644 314 42
5617 652 302 46
5618 618 337 45
5619 618 333 49
5620 592 348 60
5621 578 364 58
5622 580 366 54
5623 600 355 45
5624 594 356 50
5625 593 363 44
5626 606 333 61
5627 609 343 48
5628 591 360 49
5629 608 343 49
5630 613 346 41
5631 606 336 58
5632 601 339 60
5633 586 359 55
5634 593 347 60
5635 581 368 51
5636 597 329 74
5637 595 354 51
5638 579 366 55
5639 583 361 56
5640 590 361 49
5641 561 384 55
5642 568 380 52
5643 574 364 62
5644 568 379 53
5645 568 380 52
5646 565 376 59
5647 562 380 58
5648 585 362 53
5649 603 330 67
5650 605 346 49
5651 606 348 46
5652 626 326 48
5653 601 354 45
5654 588 354 58
5655 625 328 47
5656 602 363 35
5657 630 322 48
5658 638 319 43
5659 642 315 43
5660 641 312 47
5661 633 329 38
5662 626 331 43
5663 627 335 38
5664 619 333 48
5665 622 322 56
5666 568 372 60
5667 564 373 63
5668 543 395 62
5669 550 387 63
5670 557 377 66
5671 594 345 61
5672 571 375 54
5673 577 378 45
5674 590 360 50
5675 594 356 50
5676 619 325 56
5677 601 350 49
5678 613 334 53
5679 584 366 50
5680 583 354 63
5681 573 374 53
5682 585 343 72
5683 562 374 64
5684 553 384 63
5685 548 381 71
5686 504 413 83
5687 516 403 81
5688 526 397 77
5689 538 380 82
5690 559 370 71
5691 556 392 52
5692 575 370 55
5693 568 357 75
5694 547 385 68
5695 544 389 67
5696 551 386 63
5697 536 386 78
5698 492 432 76
5699 471 443 86
5700 506 390 104
5701 533 389 78
5702 559 370 71
5703 549 391 60
5704 556 378 66
5705 559 372 69
5706 553 386 61
5707 565 380 55
5708 568 373 59
5709 579 368 53
5710 585 360 55
5711 591 356 53
5712 589 350 61
5713 552 394 54
5714 556 382 62
5715 581 358 61
5716 574 367 59
5717 564 383 53
5718 555 395 50
5719 537 400 63
5720 513 417 70
5721 521 394 85
5722 511 417 72
5723 525 399 76
5724 505 413 82
5725 493 420 87
5726 501 408 91
5727 525 395 80
5728 541 395 64
5729 541 380 79
5730 537 388 75
5731 545 394 61
5732 550 393 57
5733 571 359 70
5734 556 372 72
5735 562 381 57
5736 584 353 63
5737 580 361 59
5738 577 370 53
5739 560 386 54
5740 565 380 55
5741 580 368 52
5742 606 346 48
5743 588 363 49
5744 602 347 51
5745 595 349 56
5746 609 332 59
5747 605 339 56
5748 582 374 44
5749 582 367 51
5750 571 379 50
5751 575 370 55
5752 559 358 83
5753 557 372 71
5754 547 380 73
5755 536 387 77
5756 515 415 70
5757 525 394 81
5758 523 411 66
5759 522 402 76
5760 529 405 66
5761 525 396 79
5762 554 377 69
5763 540 384 76
5764 515 421 64
5765 551 373 76
5766 553 374 73
5767 581 355 64
5768 583 350 67
5769 574 370 56
5770 584 358 58
5771 562 380 58
5772 587 340 73
5773 593 347 60
5774 598 352 50
5775 583 353 64
5776 536 393 71
5777 543 394 63
5778 552 374 74
5779 563 373 64
5780 568 367 65
5781 573 359 68
5782 571 368 61
5783 582 344 74
5784 563 377 60
5785 550 385 65
5786 554 391 55
5787 551 386 63
5788 558 385 57
5789 577 369 54
5790 576 366 58
5791 595 353 52
5792 603 335 62
5793 600 353 47
5794 593 359 48
5795 588 365 47
5796 610 338 52
5797 593 353 54
5798 577 377 46
5799 573 370 57
5800 566 383 51
5801 599 358 43
5802 590 363 47
5803 604 343 53
5804 593 349 58
5805 611 341 48
5806 595 353 52
5807 583 369 48
5808 572 358 70
5809 552 385 63
5810 553 374 73
5811 540 400 60
5812 550 372 78
5813 553 366 81
5814 544 386 70
5815 560 376 64
5816 541 388 71
5817 532 406 62
5818 543 397 60
5819 531 401 68
5820 539 391 70
5821 550 377 73
5822 536 403 61
5823 545 384 71
5824 551 380 69
5825 552 383 65
5826 581 369 50
5827 603 334 63
5828 564 388 48
5829 614 336 50
5830 614 330 56
5831 578 362 60
5832 576 351 73
5833 548 396 56
5834 578 371 51
5835 602 333 65
5836 589 357 54
5837 598 342 60
5838 612 343 45
5839 625 324 51
5840 623 321 56
5841 613 336 51
5842 592 353 55
5843 603 348 49
5844 593 363 44
5845 598 354 48
5846 606 342 52
5847 599 349 52
5848 611 335 54
5849 605 350 45
5850 612 330 58
5851 584 357 59
5852 561 387 52
5853 604 345 51
5854 617 328 55
5855 584 360 56
5856 583 365 52
5857 576 358 66
5858 595 357 48
5859 605 342 53
5860 605 342 53
5861 591 361 48
5862 598 345 57
5863 602 352 46
5864 653 309 38
5865 640 336 24
5866 636 326 38
5867 632 328 40
5868 629 323 48
5869 611 342 47
5870 623 330 47
5871 624 335 41
5872 629 330 41
5873 615 341 44
5874 644 316 40
5875 656 313 31
5876 631 335 34
5877 619 332 49
5878 624 329 47
5879 600 348 52
5880 576 379 45
5881 596 343 61
5882 585 355 60
5883 577 361 62
5884 591 350 59
5885 581 364 55
5886 599 352 49
5887 605 339 56
5888 586 352 62
5889 580 360 60
5890 583 356 61
5891 578 354 68
5892 572 363 65
5893 581 365 54
5894 589 355 56
5895 611 343 46
5896 613 344 43
5897 601 359 40
5898 609 343 48
5899 617 331 52
5900 612 339 49
5901 604 340 56
5902 614 331 55
5903 612 346 42
5904 622 333 45
5905 612 340 48
5906 604 346 50
5907 595 360 45
5908 609 339 52
5909 594 356 50
5910 631 321 48
5911 608 350 42
5912 623 325 52
5913 592 352 56
5914 585 365 50
5915 601 337 62
5916 552 395 53
5917 564 376 60
5918 572 364 64
5919 533 405 62
5920 535 394 71
5921 529 401 70
5922 545 382 73
5923 549 381 70
5924 511 403 86
5925 537 389 74
5926 544 387 69
5927 555 383 62
5928 560 386 54
5929 572 358 70
5930 546 386 68
5931 552 380 68
5932 555 383 62
5933 551 374 75
5934 532 401 67
5935 531 398 71
5936 555 374 71
5937 574 359 67
5938 582 363 55
5939 573 360 67
5940 545 398 57
5941 533 393 74
5942 525 407 68
5943 515 406 79
5944 516 404 80
5945 501 412 87
5946 485 418 97
5947 497 428 75
5948 510 417 73
5949 526 390 84
5950 517 399 84
5951 501 410 89
5952 512 405 83
5953 531 377 92
5954 513 403 84
5955 502 419 79
5956 509 420 71
5957 492 428 80
5958 489 421 90
5959 515 405 80
5960 519 395 86
5961 528 405 67
5962 531 395 74
5963 524 408 68
5964 511 400 89
5965 494 400 106
5966 461 459 80
5967 466 443 91
5968 501 405 94
5969 461 447 92
5970 466 423 111
5971 456 447 97
5972 479 424 97
5973 481 425 94
5974 460 460 80
5975 534 377 89
5976 533 399 68
5977 529 396 75
5978 540 403 57
5979 561 378 61
5980 553 379 68
5981 553 378 69
5982 582 363 55
5983 586 355 59
5984 571 374 55
5985 557 388 55
5986 560 383 57
5987 555 380 65
5988 550 388 62
5989 558 378 64
5990 561 370 69
5991 547 394 59
5992 546 396 58
5993 573 362 65
5994 562 371 67
5995 560 373 67
5996 542 399 59
5997 561 365 74
5998 545 387 68
5999 549 363 88
6000 545 381 74
6001 543 395 62
6002 561 380 59
6003 557 385 58
6004 526 407 67
6005 523 392 85
6006 513 415 72
6007 538 378 84
6008 520 403 77
6009 518 403 79
6010 518 412 70
6011 536 397 67
6012 557 379 64
6013 569 370 61
6014 556 380 64
6015 562 384 54
6016 542 393 65
6017 545 393 62
6018 559 386 55
6019 549 382 69
6020 564 362 74
6021 565 376 59
6022 559 380 61
6023 529 409 62
6024 552 365 83
6025 534 398 68
6026 562 372 66
6027 575 369 56
6028 573 376 51
6029 587 354 59
6030 549 397 54
6031 555 377 68
6032 542 393 65
6033 532 395 73
6034 534 382 84
6035 500 411 89
6036 490 427 83
6037 483 420 97
6038 471 453 76
6039 502 417 81
6040 507 415 78
6041 489 427 84
6042 495 403 102
6043 479 424 97
6044 492 402 106
6045 501 409 90
6046 491 429 80
6047 499 428 73
6048 478 445 77
6049 492 415 93
6050 490 423 87
6051 517 390 93
6052 519 404 77
6053 538 385 77
6054 512 399 89
6055 492 414 94
6056 494 419 87
6057 517 404 79
6058 533 392 75
6059 536 395 69
6060 549 380 71
6061 531 407 62
6062 538 383 79
6063 538 386 76
6064 548 375 77
6065 550 384 66
6066 556 374 70
6067 599 359 42
6068 603 347 50
6069 579 370 51
6070 608 334 58
6071 611 339 50
6072 643 313 44
6073 667 297 36
6074 680 295 25
6075 677 290 33
6076 668 304 28
6077 660 305 35
6078 639 321 40
6079 656 312 32
6080 640 313 47
6081 634 332 34
6082 661 305 34
6083 644 311 45
6084 624 334 42
6085 614 338 48
6086 598 356 46
6087 614 338 48
6088 608 346 46
6089 601 342 57
6090 608 336 56
6091 585 367 48
6092 589 356 55
6093 593 357 50
6094 606 334 60
6095 591 351 58
6096 574 361 65
6097 564 373 63
6098 604 336 60
6099 613 345 42
6100 609 345 46
6101 633 320 47
6102 630 325 45
6103 632 328 40
6104 616 337 47
6105 607 345 48
6106 597 348 55
6107 609 338 53
6108 599 347 54
6109 583 369 48
6110 591 347 62
6111 579 367 54
6112 606 345 49
6113 588 364 48
6114 586 367 47
6115 596 352 52
6116 599 335 66
6117 593 366 41
6118 580 369 51
6119 570 372 58
6120 522 403 75
6121 555 368 77
6122 547 378 75
6123 582 353 65
6124 563 381 56
6125 562 372 66
6126 573 363 64
6127 569 372 59
6128 562 383 55
6129 556 388 56
6130 566 370 64
6131 551 384 65
6132 564 372 64
6133 544 398 58
6134 538 384 78
6135 516 412 72
6136 527 402 71
6137 538 391 71
6138 543 387 70
6139 528 402 70
6140 540 388 72
6141 513 418 69
6142 496 421 83
6143 502 391 107
6144 497 418 85
6145 500 406 94
6146 487 422 91
6147 488 425 87
6148 476 430 94
6149 498 422 80
6150 488 430 82
6151 490 425 85
6152 476 438 86
6153 473 430 97
6154 504 396 100
6155 508 410 82
6156 521 397 82
6157 519 397 84
6158 527 381 92
6159 518 396 86
6160 525 391 84
6161 525 405 70
6162 541 371 88
6163 525 407 68
6164 542 378 80
6165 555 378 67
6166 540 398 62
6167 563 377 60
6168 561 380 59
6169 565 369 66
6170 543 395 62
6171 561 383 56
6172 558 392 50
6173 566 378 56
6174 575 367 58
6175 550 393 57
6176 562 368 70
6177 562 386 52
6178 576 370 54
6179 580 359 61
6180 570 371 59
6181 568 372 60
6182 579 365 56
6183 573 366 61
6184 575 361 64
6185 572 372 56
6186 562 381 57
6187 584 353 63
6188 575 370 55
6189 577 363 60
6190 583 365 52
6191 588 353 59
6192 575 377 48
6193 580 364 56
6194 577 363 60
6195 578 368 54
6196 578 356 66
6197 573 363 64
6198 562 365 73
6199 564 374 62
6200 559 394 47
6201 554 381 65
6202 564 372 64
6203 551 380 69
6204 553 377 70
6205 536 396 68
6206 514 411 75
6207 521 402 77
6208 522 404 74
6209 535 384 81
6210 544 381 75
6211 526 410 64
6212 527 400 73
6213 511 426 63
6214 490 445 65
6215 518 415 67
6216 518 396 86
6217 503 407 90
6218 479 428 93
6219 493 396 111
6220 490 418 92
6221 489 415 96
6222 497 420 83
6223 490 424 86
6224 504 402 94
6225 504 399 97
6226 511 393 96
6227 495 428 77
6228 516 396 88
6229 509 403 88
6230 489 415 96
6231 476 429 95
6232 479 427 94
6233 479 425 96
6234 455 446 99
6235 450 441 109
6236 462 442 96
6237 433 465 102
6238 448 444 108
6239 463 424 113
6240 461 431 108
6241 456 450 94
6242 481 429 90
6243 498 399 103
6244 497 417 86
6245 490 437 73
6246 499 403 98
6247 462 435 103
6248 490 413 97
6249 542 390 68
6250 540 392 68
6251 555 370 75
6252 560 382 58
6253 553 375 72
6254 556 373 71
6255 558 387 55
6256 577 357 66
6257 595 355 50
6258 603 350 47
6259 609 351 40
6260 611 345 44
6261 586 362 52
6262 572 370 58
6263 567 371 62
6264 589 352 59
6265 621 328 51
6266 603 351 46
6267 595 357 48
6268 589 357 54
6269 559 400 41
6270 579 363 58
6271 602 337 61
6272 600 349 51
6273 593 358 49
6274 589 359 52
6275 621 331 48
6276 587 359 54
6277 587 363 50
6278 598 339 63
6279 584 374 42
6280 587 363 50
6281 560 395 45
6282 578 363 59
6283 543 401 56
6284 572 379 49
6285 555 390 55
6286 569 362 69
6287 583 353 64
6288 574 354 72
6289 578 351 71
6290 567 366 67
6291 572 372 56
6292 549 383 68
6293 532 388 80
6294 545 387 68
6295 553 380 67
6296 565 385 50
6297 564 379 57
6298 564 363 73
6299 564 369 67
6300 528 402 70
6301 552 380 68
6302 541 390 69
6303 536 383 81
6304 563 359 78
6305 549 374 77
6306 538 409 53
6307 525 407 68
6308 538 391 71
6309 545 378 77
6310 552 379 69
6311 573 363 64
6312 585 353 62
6313 584 356 60
6314 578 364 58
6315 580 374 46
6316 615 332 53
6317 600 357 43
6318 598 355 47
6319 584 376 40
6320 601 346 53
6321 617 329 54
6322 602 346 52
6323 617 337 46
6324 581 378 41
6325 608 330 62
6326 596 358 46
6327 597 349 54
6328 602 341 57
6329 605 335 60
6330 579 368 53
6331 567 369 64
6332 554 382 64
6333 563 368 69
6334 550 367 83
6335 545 380 75
6336 544 387 69
6337 535 381 84
6338 520 408 72
6339 523 408 69
6340 531 381 88
6341 521 392 87
6342 518 406 76
6343 515 409 76
6344 506 413 81
6345 509 401 90
6346 501 417 82
6347 514 391 95
6348 510 397 93
6349 482 428 90
6350 479 437 84
6351 464 437 99
6352 467 427 106
6353 459 442 99
6354 474 428 98
6355 471 429 100
6356 477 425 98
6357 459 435 106
6358 457 454 89
6359 473 428 99
6360 481 413 106
6361 516 397 87
6362 501 405 94
6363 499 398 103
6364 495 417 88
6365 492 419 89
6366 487 428 85
6367 496 417 87
6368 483 415 102
6369 459 436 105
6370 465 428 107
6371 460 432 108
6372 464 446 90
6373 481 426 93
6374 478 433 89
6375 504 410 86
6376 490 436 74
6377 515 393 92
6378 485 440 75
6379 527 384 89
6380 494 422 84
6381 510 406 84
6382 505 412 83
6383 486 428 86
6384 485 436 79
6385 491 424 85
6386 505 414 81
6387 528 396 76
6388 503 427 70
6389 521 392 87
6390 533 405 62
6391 535 386 79
6392 523 408 69
6393 515 405 80
6394 487 436 77
6395 483 427 90
6396 488 418 94
6397 486 428 86
6398 473 413 114
6399 456 447 97
6400 456 428 116
6401 457 441 102
6402 474 428 98
6403 487 423 90
6404 490 427 83
6405 499 404 97
6406 477 434 89
6407 481 431 88
6408 481 415 104
6409 481 415 104
6410 490 423 87
6411 478 441 81
6412 487 434 79
6413 502 409 89
6414 496 415 89
6415 500 406 94
6416 506 416 78
6417 509 413 78
6418 510 418 72
6419 513 410 77
6420 533 381 86
6421 554 384 62
6422 552 386 62
6423 555 388 57
6424 561 386 53
6425 565 369 66
6426 577 363 60
6427 569 369 62
6428 579 361 60
6429 552 391 57
6430 571 366 63
6431 550 371 79
6432 549 384 67
6433 529 400 71
6434 573 344 83
6435 541 392 67
6436 548 377 75
6437 515 418 67
6438 524 401 75
6439 557 370 73
6440 528 408 64
6441 534 395 71
6442 557 376 67
6443 548 382 70
6444 535 395 70
6445 517 401 82
6446 504 410 86
6447 487 420 93
6448 457 457 86
6449 491 426 83
6450 501 409 90
6451 510 403 87
6452 503 421 76
6453 535 382 83
6454 516 407 77
6455 534 389 77
6456 551 368 81
6457 530 399 71
6458 530 394 76
6459 568 368 64
6460 568 366 66
6461 560 387 53
6462 570 376 54
6463 576 364 60
6464 576 371 53
6465 595 349 56
6466 609 338 53
6467 629 324 47
6468 618 334 48
6469 597 352 51
6470 600 364 36
6471 639 312 49
6472 638 324 38
6473 644 313 43
6474 648 317 35
6475 635 334 31
6476 641 314 45
6477 611 348 41
6478 618 331 51
6479 621 334 45
6480 631 323 46
6481 654 306 40
6482 641 322 37
6483 652 307 41
6484 650 311 39
6485 641 314 45
6486 604 343 53
6487 628 335 37
6488 643 320 37
6489 630 329 41
6490 632 327 41
6491 624 335 41
6492 609 348 43
6493 596 365 39
6494 590 366 44
6495 606 348 46
6496 616 337 47
6497 629 335 36
6498 631 336 33
6499 650 311 39
6500 643 320 37
6501 624 338 38
6502 613 348 39
6503 585 361 54
6504 595 351 54
6505 595 350 55
6506 569 387 44
6507 560 382 58
6508 579 370 51
6509 583 374 43
6510 596 352 52
6511 593 347 60
6512 597 349 54
6513 599 349 52
6514 599 351 50
6515 593 345 62
6516 581 348 71
6517 589 354 57
6518 600 324 76
6519 632 328 40
6520 614 341 45
6521 624 332 44
6522 622 333 45
6523 615 335 50
6524 642 322 36
6525 632 316 52
6526 616 332 52
6527 595 352 53
6528 589 354 57
6529 549 387 64
6530 530 401 69
6531 520 403 77
6532 545 385 70
6533 542 388 70
6534 546 380 74
6535 531 405 64
6536 531 386 83
6537 516 402 82
6538 493 422 85
6539 480 441 79
6540 507 402 91
6541 510 407 83
6542 525 391 84
6543 530 399 71
6544 498 425 77
6545 516 415 69
6546 528 408 64
6547 516 410 74
6548 507 408 85
6549 484 423 93
6550 457 456 87
6551 455 439 106
6552 449 449 102
6553 461 439 100
6554 453 427 120
6555 443 461 96
6556 459 441 100
6557 474 429 97
6558 468 427 105
6559 481 428 91
6560 485 423 92
6561 492 427 81
6562 502 408 90
6563 515 402 83
6564 516 403 81
6565 515 412 73
6566 540 389 71
6567 514 419 67
6568 515 402 83
6569 495 425 80
6570 501 417 82
6571 513 400 87
6572 508 428 64
6573 528 399 73
6574 527 400 73
6575 577 358 65
6576 568 377 55
6577 571 367 62
6578 590 360 50
6579 605 346 49
6580 592 354 54
6581 593 331 76
6582 568 380 52
6583 589 353 58
6584 607 341 52
6585 598 353 49
6586 607 344 49
6587 624 336 40
6588 602 348 50
6589 612 340 48
6590 593 367 40
6591 586 351 63
6592 573 359 68
6593 592 345 63
6594 578 353 69
6595 568 376 56
6596 593 352 55
6597 605 348 47
6598 605 340 55
6599 627 328 45
6600 618 342 40
6601 620 337 43
6602 605 359 36
6603 605 346 49
6604 571 372 57
6605 590 349 61
6606 603 353 44
6607 589 368 43
6608 615 329 56
6609 610 338 52
6610 616 329 55
6611 619 335 46
6612 615 332 53
6613 620 316 64
6614 617 339 44
6615 624 331 45
6616 629 332 39
6617 645 307 48
6618 634 330 36
6619 636 329 35
6620 634 327 39
6621 640 318 42
6622 633 321 46
6623 636 328 36
6624 644 309 47
6625 625 330 45
6626 625 334 41
6627 601 363 36
6628 612 342 46
6629 626 329 45
6630 618 326 56
6631 626 329 45
6632 633 325 42
6633 604 351 45
6634 606 353 41
6635 589 361 50
6636 587 349 64
6637 611 324 65
6638 603 330 67
6639 593 351 56
6640 603 350 47
6641 630 323 47
6642 631 330 39
6643 657 307 36
6644 655 318 27
6645 678 300 22
6646 677 287 36
6647 659 302 39
6648 628 323 49
6649 624 325 51
6650 602 351 47
6651 609 352 39
6652 606 349 45
6653 622 327 51
6654 626 324 50
6655 643 324 33
6656 667 296 37
6657 669 294 37
6658 677 285 38
6659 686 282 32
6660 684 285 31
6661 658 310 32
6662 643 321 36
6663 655 304 41
6664 632 324 44
6665 622 333 45
6666 625 334 41
6667 625 335 40
6668 621 335 44
6669 596 355 49
6670 603 341 56
6671 582 365 53
6672 573 382 45
6673 582 352 66
6674 580 352 68
6675 587 354 59
6676 564 375 61
6677 571 364 65
6678 560 380 60
6679 555 390 55
6680 551 381 68
6681 548 385 67
6682 570 373 57
6683 578 354 68
6684 596 333 71
6685 597 351 52
6686 604 341 55
6687 602 344 54
6688 594 359 47
6689 589 358 53
6690 586 358 56
6691 602 356 42
6692 611 338 51
6693 611 338 51
6694 600 353 47
6695 602 341 57
6696 590 359 51
6697 590 351 59
6698 587 363 50
6699 605 343 52
6700 612 334 54
6701 597 355 48
6702 604 345 51
6703 613 345 42
6704 589 361 50
6705 596 348 56
6706 620 327 53
6707 625 334 41
6708 633 330 37
6709 634 336 30
6710 653 300 47
6711 629 337 34
6712 627 336 37
6713 618 341 41
6714 588 374 38
6715 585 358 57
6716 603 346 51
6717 603 341 56
6718 592 357 51
6719 596 357 47
6720 603 349 48
6721 606 342 52
6722 601 349 50
6723 616 329 55
6724 610 338 52
6725 607 338 55
6726 624 321 55
6727 590 357 53
6728 581 369 50
6729 565 381 54
6730 573 371 56
6731 572 379 49
6732 573 370 57
6733 552 384 64
6734 567 375 58
6735 563 382 55
6736 565 371 64
6737 599 343 58
6738 589 365 46
6739 573 382 45
6740 550 403 47
6741 555 394 51
6742 581 360 59
6743 609 341 50
6744 619 337 44
6745 603 354 43
6746 614 337 49
6747 617 332 51
6748 613 347 40
6749 629 328 43
6750 612 346 42
6751 617 327 56
6752 614 357 29
6753 602 351 47
6754 643 316 41
6755 618 336 46
6756 598 359 43
6757 593 358 49
6758 574 379 47
6759 591 354 55
6760 548 393 59
6761 530 402 68
6762 546 387 67
6763 553 365 82
6764 550 377 73
6765 534 403 63
6766 531 397 72
6767 519 401 80
6768 526 391 83
6769 535 390 75
6770 533 394 73
6771 570 363 67
6772 565 376 59
6773 538 388 74
6774 541 408 51
6775 572 361 67
6776 569 370 61
6777 532 413 55
6778 551 384 65
6779 549 371 80
6780 514 430 56
6781 544 376 80
6782 537 385 78
6783 550 383 67
6784 560 375 65
6785 587 356 57
6786 587 349 64
6787 571 368 61
6788 574 384 42
6789 593 345 62
6790 601 347 52
6791 623 324 53
6792 608 350 42
6793 638 314 48
6794 584 368 48
6795 611 333 56
6796 595 354 51
6797 578 374 48
6798 588 350 62
6799 572 372 56
6800 581 365 54
6801 597 350 53
6802 604 338 58
6803 596 341 63
6804 600 345 55
6805 612 327 61
6806 618 316 66
6807 610 340 50
6808 596 355 49
6809 599 349 52
6810 593 358 49
6811 587 362 51
6812 604 343 53
6813 633 311 56
6814 607 347 46
6815 614 327 59
6816 611 349 40
6817 615 336 49
6818 599 352 49
6819 585 366 49
6820 584 358 58
6821 593 354 53
6822 562 378 60
6823 560 380 60
6824 529 401 70
6825 521 402 77
6826 535 395 70
6827 524 403 73
6828 544 382 74
6829 538 393 69
6830 549 381 70
6831 571 370 59
6832 567 380 53
6833 529 410 61
6834 527 386 87
6835 525 394 81
6836 518 400 82
6837 498 423 79
6838 504 410 86
6839 460 442 98
6840 458 443 99
6841 447 439 114
6842 441 441 118
6843 470 419 111
6844 473 426 101
6845 478 427 95
6846 496 417 87
6847 509 395 96
6848 488 422 90
6849 474 431 95
6850 455 452 93
6851 458 436 106
6852 428 480 92
6853 429 471 100
6854 440 446 114
6855 430 457 113
6856 434 435 131
6857 432 451 117
6858 408 457 135
6859 391 489 120
6860 421 443 136
6861 420 448 132
6862 429 443 128
6863 421 454 125
6864 432 451 117
6865 441 444 115
6866 436 436 128
6867 429 448 123
6868 423 447 130
6869 404 454 142
6870 382 479 139
6871 358 474 168
6872 370 456 174
6873 371 459 170
6874 356 496 148
6875 355 492 153
6876 373 456 171
6877 401 462 137
6878 448 433 119
6879 429 456 115
6880 454 436 110
6881 461 416 123
6882 470 431 99
6883 466 449 85
6884 498 394 108
6885 479 421 100
6886 479 416 105
6887 473 428 99
6888 488 398 114
6889 449 446 105
6890 493 418 89
6891 488 428 84
6892 497 415 88
6893 495 407 98
6894 513 380 107
6895 517 408 75
6896 548 389 63
6897 531 404 65
6898 543 385 72
6899 530 375 95
6900 514 392 94
6901 462 441 97
6902 454 441 105
6903 511 413 76
6904 519 408 73
6905 530 390 80
6906 528 389 83
6907 544 365 91
6908 522 394 84
6909 505 410 85
6910 528 401 71
6911 511 413 76
6912 533 391 76
6913 547 381 72
6914 538 392 70
6915 554 369 77
6916 574 359 67
6917 551 381 68
6918 529 399 72
6919 535 379 86
6920 537 383 80
6921 554 375 71
6922 558 378 64
6923 551 393 56
6924 528 405 67
6925 514 414 72
6926 505 415 80
6927 478 432 90
6928 488 423 89
6929 514 394 92
6930 526 402 72
6931 526 399 75
6932 540 385 75
6933 515 413 72
6934 525 409 66
6935 510 412 78
6936 502 418 80
6937 515 397 88
6938 508 418 74
6939 525 405 70
6940 537 376 87
6941 527 401 72
6942 528 409 63
6943 530 389 81
6944 523 399 78
6945 527 389 84
6946 536 377 87
6947 513 425 62
6948 505 421 74
6949 530 398 72
6950 547 384 69
